date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:42	16928/16928	---M--	200	added ('OK')	image/jpeg	etag:%22531ad7b58b22be5adb1a303514032ced%22	https://daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56c34cfe4a73dcea503b67d8_Croc-01_compressed.jpg	C:/My%20Web%20Sites/My%20portfolio/daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56c34cfe4a73dcea503b67d8_Croc-01_compressed.jpg	(from http://aarongrieve.co.uk/)
13:03:44	646268/646268	---M--	200	added ('OK')	image/jpeg	etag:%22f5b4035e8aeb48139cc3ff8499097470%22	https://daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56c34c124a73dcea503b67b0_Lion%20Aid%20Final%20PRINT%20AG-01%20RGB.jpg	C:/My%20Web%20Sites/My%20portfolio/daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56c34c124a73dcea503b67b0_Lion%20Aid%20Final%20PRINT%20AG-01%20RGB.jpg	(from http://aarongrieve.co.uk/)
13:03:44	2125182/2125182	---M--	200	added ('OK')	image/png	etag:%220ba558ed15f3c763673b9b47f3ac8a0f%22	https://daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56c341864a73dcea503b5a29_Manor%20House%20Website%20Mockup.png	C:/My%20Web%20Sites/My%20portfolio/daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56c341864a73dcea503b5a29_Manor%20House%20Website%20Mockup.png	(from http://aarongrieve.co.uk/)
13:03:45	14320/14320	---M--	200	added ('OK')	image/jpeg	etag:%228dd87211b0b6cfd9ee7068c7da1619c5%22	https://daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56c34cfe046f28a516c6c82c_Croc-02_compressed.jpg	C:/My%20Web%20Sites/My%20portfolio/daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56c34cfe046f28a516c6c82c_Croc-02_compressed.jpg	(from http://aarongrieve.co.uk/)
13:03:45	14550/14550	---M--	200	added ('OK')	image/jpeg	etag:%22c726c56ce2ec62cab939db2d162f3c1b%22	https://daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56c34cfebfc50aef5095baaf_Croc-03_compressed.jpg	C:/My%20Web%20Sites/My%20portfolio/daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56c34cfebfc50aef5095baaf_Croc-03_compressed.jpg	(from http://aarongrieve.co.uk/)
13:03:47	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2005%20Aug%202016%2008:03:54%20GMT	http://aarongrieve.co.uk/portfolio	C:/My%20Web%20Sites/My%20portfolio/aarongrieve.co.uk/portfolio.1c.delayed	(from http://aarongrieve.co.uk/)
13:03:49	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2005%20Aug%202016%2008:03:55%20GMT	http://aarongrieve.co.uk/about-aaron-grieve	C:/My%20Web%20Sites/My%20portfolio/aarongrieve.co.uk/about-aaron-grieve	(from http://aarongrieve.co.uk/)
13:03:49	147653/147653	---M--	200	added ('OK')	image/jpeg	etag:%22f66806e761b2fbc4bc926b4ff8f72cae%22	https://daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56dc12ecf3c9211735bd3720_Nirvana%2012.jpg	C:/My%20Web%20Sites/My%20portfolio/daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56dc12ecf3c9211735bd3720_Nirvana%2012.jpg	(from http://aarongrieve.co.uk/)
13:03:50	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Fri,%2005%20Aug%202016%2008:03:57%20GMT	http://aarongrieve.co.uk/contact-aaron-grieve	C:/My%20Web%20Sites/My%20portfolio/aarongrieve.co.uk/contact-aaron-grieve	(from http://aarongrieve.co.uk/)
13:03:51	290842/290842	---M--	200	added ('OK')	image/jpeg	etag:%22d8ca78eabbd263f69d78ade7c495bfe3%22	https://daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56dc1278f3c9211735bd3616_Nirvana%205.jpg	C:/My%20Web%20Sites/My%20portfolio/daks2k3a4ib2z.cloudfront.net/56b9f7a823ac054969b80350/56dc1278f3c9211735bd3616_Nirvana%205.jpg	(from http://aarongrieve.co.uk/)
